KIT,DESCRICAO,PECAS,TOTAL
KIT UNO/ELBA,(84/11)(TODOS),"1-102 2-105 2-103","4,10"
KIT CIVIC,(08/11),"1-907 1-911 1-912","8,30"
KIT ONIX/SPIN/COBALT/NOVO PRISMA/SONIC,(TODOS),"2-318 2-319","4,20"
KIT RENAGADE/TORO,(15/ATUAL)(16/ATUAL),"3-950 1-113","27,00"
KIT DOBLO,-,"3-140 1-110","6,50"
KIT UP/CROSFOX/FOX/POLO/SAVEIRO/SPACEFOX/VIRTUS/VOYAGE,-,"4-464","10,60"
KIT TR4/PAJERO,-,"3-920 1-915","12,10"
KIT PEUGEOT 206/207/306/405 CITROEN XSARA/BERLINGO,-,"3-702","7,00"
KIT PEUGEOT 106/206/207/HOGGAR/PARTNER,-,"3-701","4,40"
KIT ABRAÇADEIRA 1 7/8,(vários modelos),"1-100","3,30"
KIT JAC J2/J3,-,"3-915 2-912","15,00"
KIT PALIO,(TODOS),"3-108 1-109","4,60"
